"transaction_amount","pay_class"
"2.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"8.99","high"
"0.99","low"
"4.99","low"
"0.99","low"
"1.99","low"
"0.99","low"
"9.99","high"
"7.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"6.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"6.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"6.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"5.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"9.99","high"
"3.99","low"
"0.99","low"
"3.99","low"
"0.99","low"
"8.99","high"
"1.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"8.99","high"
"4.99","low"
"5.99","low"
"6.99","low"
"2.99","low"
"5.99","low"
"0.99","low"
"5.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"5.99","low"
"7.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"5.99","low"
"6.99","low"
"0.99","low"
"2.99","low"
"1.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"10.99","high"
"8.99","high"
"9.99","high"
"2.99","low"
"2.99","low"
"3.99","low"
"3.99","low"
"3.99","low"
"2.99","low"
"9.99","high"
"4.99","low"
"3.98","low"
"0.00","low"
"4.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"8.99","high"
"3.99","low"
"2.99","low"
"6.99","low"
"3.99","low"
"2.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"6.99","low"
"4.99","low"
"7.99","low"
"3.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"3.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"6.99","low"
"1.99","low"
"3.99","low"
"0.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"8.99","high"
"4.99","low"
"3.99","low"
"8.99","high"
"2.99","low"
"8.99","high"
"2.99","low"
"2.99","low"
"6.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"5.99","low"
"3.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"6.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"1.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"4.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"6.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"5.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"4.99","low"
"7.99","low"
"1.99","low"
"4.99","low"
"5.99","low"
"5.99","low"
"2.99","low"
"9.99","high"
"2.99","low"
"4.99","low"
"7.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"9.99","high"
"3.99","low"
"0.99","low"
"0.99","low"
"8.99","high"
"2.99","low"
"8.99","high"
"6.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"3.99","low"
"1.99","low"
"0.99","low"
"0.99","low"
"1.99","low"
"1.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"8.99","high"
"2.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"8.99","high"
"4.99","low"
"4.99","low"
"2.99","low"
"1.99","low"
"3.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"7.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"5.99","low"
"0.99","low"
"7.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"10.99","high"
"6.99","low"
"3.99","low"
"3.98","low"
"0.00","low"
"5.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"7.99","low"
"1.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"9.99","high"
"2.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"0.99","low"
"3.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"6.99","low"
"9.99","high"
"10.99","high"
"2.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"7.99","low"
"2.99","low"
"6.99","low"
"7.99","low"
"10.99","high"
"4.99","low"
"3.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"3.99","low"
"4.99","low"
"5.99","low"
"6.99","low"
"3.99","low"
"2.99","low"
"10.99","high"
"1.99","low"
"2.99","low"
"5.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"3.99","low"
"5.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"6.99","low"
"5.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"5.99","low"
"9.99","high"
"4.99","low"
"4.99","low"
"3.99","low"
"4.99","low"
"0.99","low"
"7.99","low"
"6.99","low"
"8.99","high"
"6.99","low"
"8.99","high"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"8.99","high"
"4.99","low"
"7.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"6.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"7.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"7.99","low"
"3.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"5.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"5.99","low"
"1.99","low"
"8.99","high"
"2.99","low"
"6.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"8.99","high"
"0.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"8.99","high"
"3.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"2.99","low"
"5.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"7.99","low"
"4.99","low"
"8.99","high"
"4.99","low"
"9.99","high"
"6.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"5.99","low"
"2.99","low"
"7.99","low"
"6.99","low"
"2.99","low"
"8.99","high"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"9.99","high"
"2.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"6.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"8.99","high"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"5.99","low"
"3.99","low"
"3.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"4.99","low"
"0.99","low"
"5.99","low"
"6.99","low"
"0.99","low"
"6.99","low"
"10.99","high"
"4.99","low"
"6.99","low"
"3.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"9.99","high"
"2.99","low"
"9.99","high"
"4.99","low"
"1.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"7.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"0.99","low"
"9.99","high"
"4.99","low"
"10.99","high"
"3.99","low"
"0.99","low"
"0.99","low"
"3.99","low"
"6.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"6.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"2.99","low"
"4.99","low"
"9.99","high"
"2.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"7.99","low"
"5.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"10.99","high"
"5.99","low"
"4.99","low"
"8.99","high"
"6.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"8.99","high"
"10.99","high"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"8.99","high"
"5.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"3.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"7.99","low"
"0.99","low"
"1.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"5.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"2.99","low"
"3.99","low"
"6.99","low"
"5.99","low"
"5.99","low"
"2.99","low"
"5.99","low"
"6.99","low"
"6.99","low"
"0.99","low"
"6.99","low"
"4.99","low"
"8.99","high"
"4.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"1.99","low"
"7.99","low"
"4.99","low"
"8.99","high"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"7.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"7.99","low"
"8.99","high"
"7.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"7.99","low"
"2.99","low"
"5.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"5.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"9.99","high"
"2.99","low"
"4.99","low"
"7.99","low"
"1.99","low"
"5.99","low"
"7.99","low"
"2.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"4.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"5.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"0.99","low"
"6.99","low"
"3.99","low"
"4.99","low"
"9.99","high"
"6.99","low"
"4.99","low"
"5.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"2.99","low"
"10.99","high"
"4.99","low"
"5.99","low"
"2.99","low"
"7.99","low"
"2.99","low"
"2.99","low"
"10.99","high"
"6.99","low"
"5.99","low"
"2.99","low"
"8.99","high"
"4.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"8.99","high"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"6.99","low"
"6.99","low"
"0.99","low"
"8.99","high"
"0.99","low"
"4.99","low"
"7.99","low"
"1.99","low"
"0.99","low"
"8.99","high"
"7.99","low"
"2.99","low"
"5.99","low"
"8.99","high"
"2.99","low"
"7.99","low"
"4.99","low"
"4.99","low"
"1.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"2.99","low"
"0.99","low"
"0.99","low"
"6.99","low"
"9.99","high"
"0.99","low"
"0.99","low"
"7.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"9.99","high"
"4.99","low"
"6.99","low"
"4.99","low"
"1.99","low"
"0.99","low"
"5.99","low"
"4.99","low"
"0.99","low"
"9.99","high"
"4.99","low"
"2.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"1.99","low"
"0.99","low"
"10.99","high"
"2.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"6.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"1.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"2.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"8.99","high"
"2.99","low"
"8.99","high"
"7.99","low"
"5.99","low"
"6.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"5.99","low"
"2.99","low"
"3.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"4.99","low"
"4.99","low"
"4.99","low"
"9.99","high"
"0.99","low"
"4.99","low"
"4.99","low"
"7.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"3.99","low"
"3.99","low"
"4.99","low"
"5.99","low"
"4.99","low"
"2.99","low"
"6.99","low"
"0.99","low"
"6.99","low"
"5.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"9.99","high"
"4.99","low"
"8.99","high"
"4.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"8.99","high"
"0.99","low"
"1.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"3.99","low"
"3.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"3.99","low"
"4.99","low"
"2.99","low"
"8.99","high"
"0.99","low"
"2.99","low"
"8.99","high"
"2.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"8.99","high"
"0.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"1.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"4.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"6.99","low"
"5.99","low"
"9.99","high"
"5.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"7.99","low"
"2.99","low"
"3.99","low"
"5.99","low"
"6.99","low"
"5.99","low"
"8.99","high"
"5.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"4.99","low"
"5.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"9.99","high"
"4.99","low"
"6.99","low"
"6.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"6.99","low"
"0.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"5.99","low"
"7.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"8.99","high"
"5.99","low"
"4.99","low"
"0.99","low"
"7.99","low"
"7.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"8.99","high"
"2.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"6.99","low"
"7.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"4.99","low"
"9.99","high"
"8.99","high"
"2.99","low"
"6.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"7.99","low"
"3.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"6.99","low"
"7.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"7.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"8.99","high"
"1.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"7.99","low"
"2.99","low"
"7.99","low"
"0.99","low"
"2.99","low"
"3.99","low"
"5.99","low"
"0.99","low"
"3.99","low"
"5.99","low"
"4.99","low"
"6.99","low"
"9.99","high"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"7.99","low"
"3.99","low"
"2.99","low"
"7.99","low"
"7.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"5.99","low"
"5.99","low"
"9.99","high"
"4.99","low"
"4.99","low"
"5.99","low"
"4.99","low"
"5.99","low"
"0.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"5.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"3.99","low"
"4.99","low"
"5.99","low"
"6.99","low"
"7.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"7.99","low"
"8.99","high"
"5.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"7.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"6.99","low"
"6.99","low"
"4.99","low"
"9.99","high"
"4.99","low"
"7.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"8.99","high"
"2.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"3.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"6.99","low"
"4.99","low"
"3.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"7.99","low"
"0.99","low"
"4.99","low"
"8.99","high"
"7.99","low"
"3.99","low"
"1.99","low"
"4.99","low"
"3.99","low"
"3.99","low"
"7.99","low"
"8.99","high"
"8.99","high"
"0.99","low"
"5.99","low"
"5.99","low"
"3.99","low"
"6.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"0.99","low"
"2.99","low"
"6.99","low"
"0.99","low"
"3.99","low"
"6.99","low"
"1.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"5.99","low"
"7.99","low"
"6.99","low"
"6.99","low"
"2.99","low"
"1.99","low"
"7.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"1.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"7.99","low"
"0.99","low"
"0.99","low"
"2.99","low"
"2.99","low"
"5.99","low"
"2.99","low"
"7.99","low"
"8.99","high"
"2.99","low"
"8.99","high"
"3.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"0.99","low"
"4.99","low"
"9.99","high"
"4.99","low"
"3.99","low"
"3.99","low"
"1.99","low"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"6.99","low"
"2.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"4.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"4.99","low"
"2.99","low"
"3.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"5.99","low"
"4.99","low"
"4.99","low"
"1.99","low"
"6.99","low"
"9.99","high"
"6.99","low"
"5.99","low"
"0.99","low"
"6.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"1.99","low"
"4.99","low"
"9.99","high"
"0.99","low"
"3.99","low"
"2.99","low"
"1.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"5.99","low"
"4.99","low"
"6.99","low"
"8.99","high"
"4.99","low"
"2.99","low"
"2.99","low"
"5.99","low"
"4.99","low"
"7.99","low"
"5.99","low"
"5.99","low"
"6.99","low"
"9.99","high"
"4.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"3.99","low"
"2.99","low"
"3.99","low"
"8.99","high"
"0.99","low"
"2.99","low"
"4.99","low"
"6.99","low"
"2.99","low"
"0.99","low"
"9.99","high"
"6.99","low"
"7.99","low"
"6.99","low"
"8.99","high"
"0.99","low"
"2.99","low"
"0.99","low"
"9.99","high"
"0.99","low"
"3.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"1.99","low"
"2.99","low"
"6.99","low"
"5.99","low"
"1.99","low"
"9.99","high"
"0.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"2.99","low"
"0.99","low"
"6.99","low"
"1.99","low"
"2.99","low"
"5.99","low"
"5.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"2.99","low"
"4.99","low"
"9.99","high"
"6.99","low"
"4.99","low"
"0.99","low"
"8.99","high"
"5.99","low"
"3.99","low"
"7.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"2.99","low"
"8.99","high"
"2.99","low"
"6.99","low"
"6.99","low"
"2.99","low"
"6.99","low"
"4.99","low"
"0.99","low"
"4.99","low"
"8.99","high"
"2.99","low"
"4.99","low"
"1.99","low"
"4.99","low"
"2.99","low"
"2.99","low"
"5.99","low"
"6.99","low"
"8.99","high"
"5.99","low"
"0.99","low"
"4.99","low"
"5.99","low"
"6.99","low"
"4.99","low"
"4.99","low"
"5.99","low"
"2.99","low"
"8.99","high"
"5.99","low"
"4.99","low"
"5.99","low"
"0.99","low"
"0.99","low"
"8.99","high"
"0.99","low"
"0.99","low"
"8.99","high"
"5.99","low"
"2.99","low"
"4.99","low"
"4.99","low"
"1.99","low"
"2.99","low"
"8.99","high"
"9.99","high"
"3.99","low"
"4.99","low"
